text,choices,answer,difficulty,quiz_level,subject,topic,grade
"What is 1 + 1?","1,2,3,4",2,1,0,Mathematics,Addition,Primary 1
"What is 2 + 2?","2,3,4,5",4,1,0,Mathematics,Addition,Primary 1
"What is 3 + 2?","4,5,6,7",5,2,0,Mathematics,Addition,Primary 1
"What is 5 + 3?","6,7,8,9",8,2,0,Mathematics,Addition,Primary 1
"What is 7 + 6?","11,12,13,14",13,3,0,Mathematics,Addition,Primary 1
"What is 9 + 8?","15,16,17,18",17,3,0,Mathematics,Addition,Primary 1
"What is 12 + 15?","25,26,27,28",27,4,0,Mathematics,Addition,Primary 2
"What is 23 + 18?","39,40,41,42",41,4,0,Mathematics,Addition,Primary 2
"What is 45 + 37?","80,81,82,83",82,5,1,Mathematics,Addition,Primary 2
"What is 56 + 48?","102,103,104,105",104,5,1,Mathematics,Addition,Primary 2
"What is 123 + 89?","210,211,212,213",212,6,1,Mathematics,Addition,Primary 3
"What is 234 + 176?","408,409,410,411",410,6,1,Mathematics,Addition,Primary 3
"What is 456 + 387?","841,842,843,844",843,7,2,Mathematics,Addition,Primary 3
"What is 789 + 654?","1441,1442,1443,1444",1443,7,2,Mathematics,Addition,Primary 3
"What is 1234 + 5678?","6910,6911,6912,6913",6912,8,2,Mathematics,Addition,Primary 4
"What is 2345 + 6789?","9132,9133,9134,9135",9134,8,2,Mathematics,Addition,Primary 4
"What is 12345 + 67890?","80233,80234,80235,80236",80235,9,3,Mathematics,Addition,Primary 5
"What is 23456 + 78901?","102355,102356,102357,102358",102357,9,3,Mathematics,Addition,Primary 5
"What is 123456 + 789012?","912466,912467,912468,912469",912468,10,3,Mathematics,Addition,Primary 6
"What is 234567 + 890123?","1124688,1124689,1124690,1124691",1124690,10,3,Mathematics,Addition,Primary 6
"What is 3 - 1?","1,2,3,4",2,1,0,Mathematics,Subtraction,Primary 1
"What is 5 - 2?","2,3,4,5",3,1,0,Mathematics,Subtraction,Primary 1
"What is 7 - 3?","3,4,5,6",4,2,0,Mathematics,Subtraction,Primary 1
"What is 10 - 4?","5,6,7,8",6,2,0,Mathematics,Subtraction,Primary 1
"What is 15 - 8?","6,7,8,9",7,3,0,Mathematics,Subtraction,Primary 2
"What is 20 - 12?","7,8,9,10",8,3,0,Mathematics,Subtraction,Primary 2
"What is 35 - 17?","17,18,19,20",18,4,1,Mathematics,Subtraction,Primary 2
"What is 50 - 23?","26,27,28,29",27,4,1,Mathematics,Subtraction,Primary 2
"What is 100 - 45?","54,55,56,57",55,5,1,Mathematics,Subtraction,Primary 3
"What is 200 - 89?","110,111,112,113",111,5,1,Mathematics,Subtraction,Primary 3
"What is 500 - 234?","265,266,267,268",266,6,2,Mathematics,Subtraction,Primary 3
"What is 1000 - 456?","543,544,545,546",544,6,2,Mathematics,Subtraction,Primary 3
"What is 2000 - 789?","1210,1211,1212,1213",1211,7,2,Mathematics,Subtraction,Primary 4
"What is 5000 - 1234?","3765,3766,3767,3768",3766,7,2,Mathematics,Subtraction,Primary 4
"What is 10000 - 3456?","6543,6544,6545,6546",6544,8,3,Mathematics,Subtraction,Primary 5
"What is 20000 - 7890?","12109,12110,12111,12112",12110,8,3,Mathematics,Subtraction,Primary 5
"What is 50000 - 12345?","37654,37655,37656,37657",37655,9,3,Mathematics,Subtraction,Primary 6
"What is 100000 - 23456?","76543,76544,76545,76546",76544,9,3,Mathematics,Subtraction,Primary 6
"What is 200000 - 45678?","154321,154322,154323,154324",154322,10,3,Mathematics,Subtraction,Primary 6
"What is 500000 - 123456?","376543,376544,376545,376546",376544,10,3,Mathematics,Subtraction,Primary 6
